latitude,longitude,crime_density_500m,crime_density_2km,avg_severity_nearby,severe_crime_ratio,district_ipc_total,district_ipc_normalized,district_accidents,district_accident_norm,crowdedness_score,hour,day_of_week,is_weekend,is_night,month,dist_to_police_km,dist_to_hospital_km,lighting_proxy,nearest_district,risk_score,risk_level
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,8,1,0,0,3,21.28,21.94,100.0,Sambalpur,0.267,Low
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,14,3,0,0,6,21.28,21.94,100.0,Sambalpur,0.267,Low
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,20,5,1,0,9,21.28,21.94,100.0,Sambalpur,0.267,Low
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,23,6,1,1,12,21.28,21.94,100.0,Sambalpur,0.387,Medium
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,2,0,0,1,1,21.28,21.94,100.0,Sambalpur,0.407,Medium
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,18,4,0,0,7,21.28,21.94,100.0,Sambalpur,0.267,Low
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,11,2,0,0,5,21.28,21.94,100.0,Sambalpur,0.267,Low
21.539999999999935,84.09999999999958,0,0,0.0,0.0,8932,0.5955,620,0.4133,40.0,1,5,1,1,10,21.28,21.94,100.0,Sambalpur,0.427,Medium
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,8,1,0,0,3,50.0,50.0,100.0,Ganjam,0.319,Low
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,14,3,0,0,6,50.0,50.0,100.0,Ganjam,0.319,Low
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,20,5,1,0,9,50.0,50.0,100.0,Ganjam,0.319,Low
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,23,6,1,1,12,50.0,50.0,100.0,Ganjam,0.439,Medium
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,2,0,0,1,1,50.0,50.0,100.0,Ganjam,0.459,Medium
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,18,4,0,0,7,50.0,50.0,100.0,Ganjam,0.319,Low
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,11,2,0,0,5,50.0,50.0,100.0,Ganjam,0.319,Low
19.01999999999999,84.91999999999942,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,1,5,1,1,10,50.0,50.0,100.0,Ganjam,0.479,Medium
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,8,1,0,0,3,50.0,50.0,100.0,Puri,0.257,Low
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,14,3,0,0,6,50.0,50.0,100.0,Puri,0.257,Low
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,20,5,1,0,9,50.0,50.0,100.0,Puri,0.257,Low
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,23,6,1,1,12,50.0,50.0,100.0,Puri,0.377,Medium
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,2,0,0,1,1,50.0,50.0,100.0,Puri,0.397,Medium
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,18,4,0,0,7,50.0,50.0,100.0,Puri,0.257,Low
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,11,2,0,0,5,50.0,50.0,100.0,Puri,0.257,Low
18.599999999999998,87.27999999999895,0,0,0.0,0.0,7456,0.4971,510,0.34,20.0,1,5,1,1,10,50.0,50.0,100.0,Puri,0.417,Medium
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,8,1,0,0,3,50.0,50.0,100.0,Mayurbhanj,0.22,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,14,3,0,0,6,50.0,50.0,100.0,Mayurbhanj,0.22,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,20,5,1,0,9,50.0,50.0,100.0,Mayurbhanj,0.22,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,23,6,1,1,12,50.0,50.0,100.0,Mayurbhanj,0.34,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,2,0,0,1,1,50.0,50.0,100.0,Mayurbhanj,0.36,Medium
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,18,4,0,0,7,50.0,50.0,100.0,Mayurbhanj,0.22,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,11,2,0,0,5,50.0,50.0,100.0,Mayurbhanj,0.22,Low
22.019999999999925,85.95999999999921,0,0,0.0,0.0,5234,0.3489,290,0.1933,20.0,1,5,1,1,10,50.0,50.0,100.0,Mayurbhanj,0.38,Medium
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,8,1,0,0,3,50.0,50.0,100.0,Ganjam,0.319,Low
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,14,3,0,0,6,50.0,50.0,100.0,Ganjam,0.319,Low
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,20,5,1,0,9,50.0,50.0,100.0,Ganjam,0.319,Low
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,23,6,1,1,12,50.0,50.0,100.0,Ganjam,0.439,Medium
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,2,0,0,1,1,50.0,50.0,100.0,Ganjam,0.459,Medium
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,18,4,0,0,7,50.0,50.0,100.0,Ganjam,0.319,Low
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,11,2,0,0,5,50.0,50.0,100.0,Ganjam,0.319,Low
19.799999999999972,84.97999999999941,0,0,0.0,0.0,11209,0.7473,890,0.5933,20.0,1,5,1,1,10,50.0,50.0,100.0,Ganjam,0.479,Medium
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,8,1,0,0,3,50.0,50.0,100.0,Kalahandi,0.23,Low
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,14,3,0,0,6,50.0,50.0,100.0,Kalahandi,0.23,Low
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,20,5,1,0,9,50.0,50.0,100.0,Kalahandi,0.23,Low
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,23,6,1,1,12,50.0,50.0,100.0,Kalahandi,0.35,Medium
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,2,0,0,1,1,50.0,50.0,100.0,Kalahandi,0.37,Medium
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,18,4,0,0,7,50.0,50.0,100.0,Kalahandi,0.23,Low
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,11,2,0,0,5,50.0,50.0,100.0,Kalahandi,0.23,Low
19.659999999999975,83.9799999999996,0,0,0.0,0.0,5678,0.3785,380,0.2533,20.0,1,5,1,1,10,50.0,50.0,100.0,Kalahandi,0.39,Medium
